2/4,3/8,5/16,3/8,1/4,17/16,2/4
harmony,pentatonic,major,minor,pentatonic,major,minor
flute,wave,wave,wave,wave,wave,wave
oboe,random,wave,wave,wave,wave,wave
clarinet,random,random,rest,wave,rest,rest
timpani,wave,random,rest,rest,rest,rest
